nn,chapter,article,paragraph,name,summ
,,10,,Статистическій Совѣтъ и Центральный Статистическій Комитетъ:,77904
,,,а, личный составъ,52633
,,,б, канцелярскіе и хозяиственные расходы,5271
,,,в, на усиленіе средствъ,20000
,,11,,Техническо-Строительный Комитетъ:,48203
,,,а, личный составъ,38203
,,,б, канцелярскіе и хозяйственные расходы,10000
,,12,,Совѣтъ и Главное Управленіе по дѣламъ печати:,214575
,,,а, личный составъ,50275
,,,б, канцелярскіе и хозяйственные расходы,3000
,,,в, вознагражденіе за спеціальные труды,11300
,,,г, усиленіе средствъ,150000
,,13,,Ветеринарный Комитетъ и Ветеринарное Управленіе:,80600
,,,а, личный составъ,73600
,,,б, канцелярскіе и хозяйственные расходы,7000
32,2,,,Содержаніе мѣстныхъ общеадминистративныхъ учрежденій,5303272
,,1,,"Намѣстникъ Его Императорскаго Величества на Кавказѣ, генералъ-губернаторы и помощники ихъ",260653
,,2,,"Губернаторы, вице-губернаторы, начальники областей, градоначальники, оберъ-полиціймейстеры и помощники ихъ",1239152
,,3,,"Канцеляріи: Намѣстника, генералъ-губернаторовъ, губернаторовъ, градоначальниковъ и оберъ-полиціймейстеровъ:",1397388
,,,а, личный составъ,1199898
,,,б, канцелярскіе и хозяйственные расходы,197490
,,4,,Губернскіе предводители дворянства по назначенію отъ правительства,11565
,,5,,Губернскія и областныя правленія:,1068696
,,,а, личный составъ,823276
,,,б, канцелярскіе и хозяйственные расходы,245420
,,6,,"Комитеты, инспекторы по дѣламъ печати, цензоры и инспекторы типографій и книжной торговли:",250077
,,,а, личный составъ,229877
,,,б, канцелярскіе и хозяйственные расходы,20200
,,7,,Губернскіе и областные статистическіе комитеты:,119633
,,,а, личный составъ,48871
,,,б, канцелярскіе и хозяйственные расходы,70762
,,8,,Губернскія и областныя по городскимъ и земскимъ дѣламъ присутствія:,370537
,,,а, личный составъ,225337
,,,б, канцелярскіе и хозяйственные расходы,145200
,,9,,Канцелярія Особаго по дѣламъ г С-Петербурга Присутствія:,9804
,,,а, личный составъ,6804
,,,б, канцелярскіе и хозяйственные расходы,3000
,,10,,Военно-народныя управленія на Кавказѣ:,541484
,,,а, личный составъ,511418
,,,б, канцелярскіе и хозяйственные расходы,30066
,,11,,Нижегородское Ярмарочное Управленіе:,30388
,,,а, личный составъ,6788
,,,б, канцелярскіе и хозяйственные расходы,23600
,,12,,Музей графа М Н Муравьева въ Вильнѣ:,3895
,,,а, личный составъ,2895
,,,б, канцелярскіе расходы,1000
32,"2,1",—,,"На производство окладовъ содержанія чинамъ губернскихъ правленій, кромѣ вице-губернаторовъ и канцелярій губернаторовъ, въ 49 губерніяхъ, управляемыхъ по общему учрежденію, и въ губерніи Ставропольской, а также чинамъ Московскаго врачебнаго управленія, согласно временному расписанію 23 марта 1912 г",3393798
,,,,Полиція,None
33,3,,,Содержаніе мѣстныхъ полицейскихъ учрежденій,53386820
,,1,,"Городскія, уѣздныя и окружныя полицейскія управленія:",25514675
,,,а, личный составъ,13611964
,,,б, канцелярскіе и хозяйственные расходы,11902711
,,2,,Полицейская стража въ Имперіи,22523351
,,3,,Полицейская стража въ Закавказьѣ,2360692
,,4,,Урядники,200123
,,5,,Фабрично-заводская полиція,663393
,,6,,Дагестанская милиція,72598
,,7,,"Полицейскія должности, содержимыя на счетъ частныхъ средствъ",2051988
34,4,,,Разные расходы на полицейскія надобности,6618636
,,1,,"Расходы, не подлежащіе оглашенію",3351174
,,2,,Расходы на сыскную часть,286900
,,3,,Содержаніе поднадзорныхъ,570000
,,4,,"Содержаніе пароходовъ, шкуны, катера и баржъ",72603
,,5,,Пособія городамъ на содержаніе полиціи,2337959
,,,,Медицинская часть,None
35,5,,,Содержаніе мѣстнаго врачебнаго управленія,1882704
,,1,,Врачебные инспекторы и помощники ихъ:,164826
,,,а, личный составъ,151406
,,,б, канцелярскіе и хозяйственные расходы,13420
,,2,,Инспекторъ морскихъ врачебно-наблюдательныхъ станцій и пунктовъ сѣвернаго побережья Чернаго моря,4820
,,3,,"Врачи, фельдшера, фельдшерицы, лекарскіе ученики и повивальныя бабки:",1400413
,,,а,личный составъ,1381208
,,,б, канцелярскіе и хозяйственные расходы,9950
,,,в, вознагражденіе за спеціальные труды,9255
,,4,,"Медицинскіе чины, прикомандированные къ разнымъ учрежденіямъ, и стипендіаты",27200
,,5,,Врачебно-наблюдательные станціи и пункты:,279445
,,,а, личный составъ,216064
,,,б, канцелярскіе и хозяйственные расходы,63381
,,6,,Международное санитарное бюро въ Парижѣ,6000
36,6,,,Разные расходы по врачебной и врачебно-полицейской частямъ,1958203
,,1,,Врачебныя заведенія и аптеки:,1634064
,,,а, личный составъ,318291
,,,б, канцелярскіе и хозяйственные расходы,1315773
,,2,,"Леченіе и погребеніе разныхъ лицъ, вскрытіе мертвыхъ тѣлъ, химическія изслѣдованія и другіе расходы по врачебно-полицейской части",185000
,,3,,Пособія городамъ и земствамъ на врачебную часть,116439
,,4,,Пособія медицинскимъ обществамъ,22700
,,,,Ветеринарная часть,None
37,7,,,Содержаніе мѣстнаго ветеринарнаго управленія,2038727
,,1,,"Управленія ветеринарною частью на Кавказѣ и въ Туркестанѣ, ветеринарные инснекторы и ихъ помощники:",125650
,,,а, личный составъ,101300
