nn,chapter,article,paragraph,name,summ
,,3,,Содержаніе артиллерійскихъ пріемщиковъ:,106940
,,,а, личный составъ,97220
,,,б, канцелярскіе и хозяйственные расходы,9720
,,4,,Содержаніе управленія Генералъ-Инспектора артиллеріи:,59350
,,,а, личный составъ,56950
,,,б, канцелярскіе и хозяйственные расходы,2400
,,5,,Содержаніе чиновъ для контроля качествъ бездымнаго пороха:,20938
,,,а, личный составъ,20338
,,,б, канцелярскіе и хозяйственные расходы,600
440,2,,,Содержаніе мѣстныхъ учрежденій.,2175363
,,1,,Окружныя артиллерійскія управленія:,492735
,,,а, личный составъ,479025
,,,б, канцелярскіе и хозяйственные расходы,13710
,,2,,Артиллерійскіе заводы:,1292796
,,,а, личный составъ,1188036
,,,б, канцелярскіе и хозяйственные расходы,104760
,,3,,Мѣстные и окружные арсеналы:,377415
,,,а, личный составъ,354913
,,,б, канцелярскіе и хозяйственные расходы,22502
,,5,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,12417
441,3,,,Разные расходы администраціи.,37950
,,1,,Содержаніе причта Сергіевскаго всей артиллеріи собора,12874
,,2,,"Награды и пособія артиллерійскимъ чинамъ, ихъ вдовамъ и вольнонаемнымъ оружейнымъ мастерамъ",25076
442,4,,,Разные расходы по управленію.,30416
,,1,,Въ непосредственное распоряженіе Начальника Главнаго Артиллерійскаго Управленія на награды и пособія низшимъ чинамъ артиллерійскаго вѣдомства и ихъ семействамъ,4286
,,2,,Пособія на изданія по артиллерійской части,22500
,,3,,На публикацію о продажѣ негоднаго и ненужнаго имущества,3500
,,4,,"На уплату за огнестрѣльное оружіе, сдаваемое въ склады за ненадобностью",130
,,,,Воинскія части арміи и команды флота.,None
443,5,,,Спеціальное обученіе войскъ.,4378426
,,1,,Полигоны:,323187
,,,а, личный составъ,140756
,,,б, канцелярскіе и хозяйственные расходы,182431
,,2,,Учебныя команды артиллерійскихъ бригадъ и крѣпостныхъ артиллерій.,93785
,,3,,Расходы на практическія занятія войскъ,3961454
,,,,Вооруженіе.,None
444,6,,,"Изготовленіе артиллеріи, оружія и предметовъ артиллерійскаго снабженія.",32295174
,,1,,Вооруженіе крѣпостей и полевой тяжелой артиллеріи,5559995
,,2,,Вооруженіе и укомплектованіе матеріальнымъ имуществомъ полевыхъ и горныхъ батарей,1554136
,,3,,Укомплектованіе матеріальнымъ имуществомъ полевыхъ и мѣстныхъ парковъ,106407
,,4,,Изготовленіе ручного огнестрѣльнаго и холоднаго оружія,5956644
,,5,,"Изготовленіе пороха, капсюлей и другихъ взрывчатыхъ веществъ",6205063
,,6,,Изготовленіе трубокъ,3781949
,,7,,Изготовленіе патроновъ,8386959
,,8,,Производство артиллерійскихъ опытовъ,744021
445,7,,,"Содержаніе, ремонтъ и храненіе артиллеріи и оружія.",3117604
,,1,,Крѣпостная и полевая тяжелая артиллерія,915488
,,2,,Полевая и горная артиллерія и пулеметное имущество,839426
,,3,,Имущество артиллерійскихъ парковъ,237728
,,4,,Ручное оружіе,319204
,,5,,Склады,805758
,,,,Учебные сборы.,None
446,8,,,"Расходы, связанные съ производствомъ учебныхъ сборовъ.",267333
,,1,,Нижнихъ чиновъ запаса и ратниковъ ополченія,267333
,,,,"Просвѣщеніе, науки и искусства.",None
447,9,,,Расходы по ученой и учебной частямъ.,1699967
,,1,,Артиллерійскія академія и училища:,1531876
,,,а, личный составъ,545908
,,,б, учебная часть,146003
,,,в, содержаніе юнкеровъ,371779
,,,г, канцелярскіе и хозяйственные расходы,468186
,,2,,Техническое и пиротехническое училища и оружейныя школы:,144971
,,,а, личный составъ,66645
,,,б, учебная часть,10008
,,,в, содержаніе казеннокоштныхъ воспитанниковъ,27848
,,,г, содержаніе своекоштныхъ пансіонеровъ,8950
,,,д, канцелярскіе и хозяйственные расходы,31520
,,3,,Заграничныя командировки офицеровъ для техническаго образованія и подготовки къ ученой дѣятельности ,10100
,,4,,На уплату Императорскому Русскому Техническому Обществу за обученіе въ его школахъ мастеровыхъ и рабочихъ техническихъ заведеній артиллерійскаго вѣдомства,13020
,,,,Строительныя работы и пріобрѣтенiе недвижимыхъ имуществъ.,None
448,10,,,Сооруженіе и ремонтъ зданій.,3142187
,,1,,Новыя постройки и капитальныя перестройки,2669678
,,2,,Ремонтъ,472509
449,11,,,Устройство центральной научно-технической лабораторіи военнаго вѣдомства,467400
450,12,,,Оборудованіе главнаго артиллерійскаго полигона:,1290860
,,1,,Переносъ жилыхъ помѣщеній,730860
,,2,,Дополнительное оборудованіе батареи,560000
,,,,Расходы по пенсіонному обезпеченію служащихъ и аренды.,None
451,13,,,Пенсіи и пенсіонныя пособія изъ казны.,433000
,,1,,"Пенсіи лицамъ, служившимъ по вольному найму въ техническихъ заведеніяхъ артиллерійскаго вѣдомства и ихъ семействамъ",425000
,,2,,Единовременныя пособія тѣмъ же лицамъ,8000
,,,,Гражданское управленіе.,None
,,,,Полицiя.,None
452,14,,,Содержаніе отдѣльнаго корпуса жандармовъ.,6995
,,1,,Расходы по вооруженію чиновъ корпуса,6995
,,,,Главное Инженерное Управленіе.,33237003
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
453,1,,,Содержаніе центральныхъ учрежденій.,648908
,,1,,Главное Инженерное Управленіе:,340672
,,,а, личный составъ,309097
,,,б, канцелярскіе и хозяйственные расходы,31575
,,2,,Инженерный Комитетъ:,65124
,,,,личный составъ,65124
,,3,,Главное Управленіе по квартирному довольствію войскъ:,243112
,,,а, личный составъ,210812
,,,б, канцелярскіе и хозяйственные расходы,32300
454,2,,,Содержаніе мѣстныхъ учрежденій.,2127313
,,1,,Окружныя управленія по квартирному довольствію войскъ:,418774
,,,а, личный составъ,409174
,,,б, канцелярскіе и хозяйственные расходы,9600
,,2,,Управленія инспекторовъ инженерной части округа:,299502
,,,а, личный составъ,293302
,,,б, канцелярскіе и хозяйственные расходы,6200
,,3,,Крѣпостныя инженерныя управленія:,353654
,,,а, личный составъ,343939
,,,б, канцелярскіе и хозяйственные расходы,9715
,,4,,Инженерныя дистанціи:,711369
,,,а, личный составъ,695429
,,,б, канцелярскіе и хозяйственные расходы,15940
,,5,,Управленія отдѣльныхъ производителей работъ:,19136
,,,а, личный составъ,18886
,,,б, канцелярскіе и хозяйственные расходы,250
,,6,,Инженерные склады:,115629
,,,а, личный составъ,110564
,,,б, канцелярскіе и хозяйственные расходы,5065
,,7,,Воскресенская электрическая станція:,7450
,,,а, личный составъ,7250
,,,б, канцелярскіе и хозяйственные расходы,200
,,8,,Управленіе завѣдывающаго Новогеоргіевскимъ рѣчнымъ портомъ:,10240
,,,а, личный составъ,10040
,,,б, канцелярскіе и хозяйственные расходы,200
,,9,,Управленіе Кронштадтскаго военнаго телеграфа:,8172
,,,а, личный составъ,7937
,,,б, канцелярскіе и хозяйственные расходы,235
,,10,,С.-Петербургскій военно-полицейскій телеграфъ:,34387
,,,,личный составъ,34387
,,11,,Порціоны,101000
,,12,,Награды и пособія,20000
,,13,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,28000
455,3,,,Разные расходы по управленію.,268218
,,1,,Съемка крѣпостей,3000
,,2,,Производство опытовъ,70000
,,3,,Въ непосредственное распоряженіе Начальника Главнаго Инженернаго Управленія,3143
,,4,,На публикаціи по отдачѣ въ арендное пользованіе земельныхъ участковъ и по продажѣ негоднаго и ненужнаго имущества,1075
,,5,,Пособіе на изданіе «Инженернаго журнала»,11000
,,6,,Расходы по усовершенствованію въ воздухоплаваніи и пособія аэроклубамъ,180000
,,,,Воинскія части арміи и команды флота.,None
456,4,,,Расходы по размѣщенію войскъ.,14324884
,,1,,Наемъ земельныхъ участковъ и уплата сборовъ,71609
,,2,,Отопленіе,10249085
,,3,,Освѣщеніе,928778
,,4,,Водоснабженіе и содержаніе зданій въ чистотѣ,2265604
,,5,,Вольнонаемные служащіе,328830
,,6,,"Содержаніе зданій, занимаемыхъ командующими войсками: Одесскаго,Кіевскаго, Казанскаго, Иркутскаго и Приамурскаго военныхъ округовъ и начальникомъ Закаспійской области",25181
,,7,,Лагерныя потребности,455797
457,5,,,Инженерное имущество.,3599987
,,1,,Заготовленіе,2892179
,,2,,Содержаніе и ремонтъ,707808
458,6,,,Крѣпостная флотилія.,448067
,,1,,Содержаніе паровыхъ и гребныхъ судовъ для нуждъ крѣпостей,448067
459,7,,,Спеціальное обученіе войскъ.,1446467
,,1,,Учебныя инженерныя команды съ техническими заведеніями,1180598
,,2,,Стрѣльбища,265869
460,8,,,Разные расходы по содержанію войскъ.,24456
,,1,,"Пастьба скота на Повонзковскомъ, Бѣлянскомъ и Мокотовскомъ военныхъ поляхъ",561
,,2,,Ремонтъ и возобновленіе мебели для офицерскихъ школъ,1795
,,3,,Содержаніе офицерскихъ библіотекъ въ учрежденіяхъ военно-инженернаго вѣдомства и въ частяхъ инженерныхъ войскъ,10000
,,4,,Эксплоатація Термезской оросительной системы,10120
,,5,,Организація управленія землями военнаго вѣдомства въ Шубковѣ Волынской губерніи,1980
,,,,"Просвѣщеніе, науки и искусства.",None
461,9,,,Расходы по ученой и учебной частямъ.,479663
,,1,,Николаевская инженерная академія и училище:,465058
,,,а, личный составъ,267300
,,,б, учебная часть,48322
,,,в, содержаніе юнкеровъ,103411
,,,г, канцелярскіе и хозяйственные расходы,46025
,,2,,Кондукторская школа:,6855
,,,а, личный составъ,4810
,,,б, содержаніе кондукторовъ,810
,,,в, канцелярскіе и хозяйственные расходы,1235
,,3,,Преміи за конкурсныя сочиненія,1750
,,4,,Заграничныя командировки,6000
,,,,Строительныя работы и пріобрѣтеніе недвижимыхъ имуществъ.,None
462,10,,,Оборонительныя работы и сооруженія.,4963100
,,1,,"Возведеніе, капитальныя перестройки сооруженій и пріобрѣтеніе недвижимыхъ имуществъ",4508100
,,2,,Ремонтъ,455000
463,11,,,Необоронительныя сооруженія.,4851940
,,1,,Ремонтъ,4851940
,,,,Гражданское управленіе.,None
,,,,Полиція.,None
464,12,,,Содержаніе отдѣльнаго корпуса жандармовъ.,54000
,,1,,Наемъ и содержаніе помѣщеній для чиновъ корпуса,54000
,,,,Главное Управленіе Военно-Учебныхъ Заведеній.,15931620
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
465,1,,,Содержаніе центральныхъ учрежденій.,258202
,,1,,Главное Управленіе Военно-Учебныхъ Заведеній съ педагогическимъ музеемъ:,215590
,,,а, личный составъ,169513
,,,б, канцелярскіе и хозяйственные расходы,46077
,,2,,Управленіе Генералъ-Инспектора военно-учебныхъ заведеній:,42612
,,,а, личный составъ,40212
,,,б, канцелярскіе и хозяйственные расходы,2400
,,,,"Просвѣщеніе, науки и искусства.",None
466,2,,,Содержаніе учебныхъ заведеній.,12776795
,,1,,Пажескій Его Императорокаго Величества Корпусъ:,258111
,,,а, личный составъ,118221
,,,б, учебная часть,10142
,,,в, содержаніе воспитанниковъ,66892
,,,г, канцелярскіе и хозяйственные расходы,62856
,,2,,Военныя училища:,5007730
,,,а, личный составъ,1930149
,,,б, учебная часть,278722
,,,в, содержаніе юнкеровъ,2127483
,,,г, канцелярскіе и хозяйственные расходы,671376
,,3,,Кадетскіе корпуса:,6728524
,,,а, личный составъ,2849983
,,,б, учебная часть,136525
,,,в, содержаніе казеннокоштныхъ воспитанниковъ,1516676
,,,г, содержаніе сверхкомплектныхъ стипендіатовъ и своекоштныхъ интерновъ,715050
,,,д, канцелярскіе и хозяйственные расходы,1510290
,,4,,Иркутская приготовительная школа:,22600
,,,а, личный составъ,11382
,,,б, учебная часть,449
,,,в, содержаніе воспитанниковъ,6199
,,,г, канцелярскіе и хозяйственные расходы,4570
,,5,,Преподавательскіе и воспитательскіе курсы,104774
,,6,,Улучшеніе матеріальнаго положенія преподавателей,433000
,,7,,Общія мѣры по педагогической части,151376
,,8,,Путевое довольствіе воспитанниковъ,40680
,,9,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,30000
467,3,,,"Пособія учебнымъ заведеніямъ, содержимымъ не на счетъ казны.",132030
,,1,,Школѣ Императора Александра II,33030
,,2,,Маріинскому дѣтскому пріюту въ С.-Петербургѣ,1000
,,3,,Александро-Маріинскому женскому институту въ Москвѣ,98000
,,,,Строительныя работы и пріобрѣтеніе недвижимыхъ имуществъ.,None
468,4,,,Сооруженіе и ремонтъ зданій.,2653700
,,1,,Новыя постройки и капитальныя перестройки и пріобрѣтеніе недвижимыхъ имуществъ,2200000
,,2,,Ремонтъ,453700
,,,,Пособія и вознагражденіе по разнымъ случаямъ.,None
469,5,,,Пособія по разнымъ случаямъ.,110893
,,1,,На воспитаніе сиротъ,105193
,,2,,"На выдачу пособій младшимъ офицерамъ, инструкторамъ Пажескаго Его Императорскаго Величества Корпуса и военныхъ училищъ и офицерамъ Генеральнаго Штаба, прикомандировываемымъ для преподаванія военныхъ наукъ",5700
,,,,Главное Управленіе Генеральнаго Штаба.,61191130
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
470,1,,,Содержаніе центральныхъ учрежденій.,994055
,,1,,Главное Управленіе Генеральнаго Штаба:,994055
,,,а, личный составъ,942440
,,,б, канцелярскіе и хозяйственные расходы,51615
471,2,,,Содержаніе мѣстныхъ учрежденій.,2363244
,,1,,"Содержаніе командующихъ войсками въ военныхъ округахъ, Военно-Окружныхъ Совѣтовъ и Окружныхъ Штабовъ:",2318069
,,,а, личный составъ,2263984
,,,б, канцелярскіе и хозяйственные расходы,54085
,,2,,Исполненіе частныхъ заказовъ литографіями окружныхъ штабовъ,175
,,3,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,45000
472,3,,,Разные расходы администраціи.,118487
,,1,,Путевыя пособія офицерамъ Генеральнаго Штаба,18487
,,2,,Полевыя поѣздки офицеровъ Генеральнаго Штаба,100000
473,4,,,Топографическія и картографическія работы.,676188
,,1,,Государственныя съемки,458524
,,2,,Составленіе и гравированіе картъ,118100
,,3,,Устройство полевыхъ военно-топографическихъ складовъ,39668
,,4,,Исполненіе частныхъ заказовъ по топографической части,59896
474,5,,,Разные расходы по управленію.,2326783
,,1,,На секретные расходы,1947850
,,2,,"Печатныя, чертежныя и переплетныя работы",76000
,,3,,Содержаніе Терапійскаго имѣнія въ Турціи,855
,,4,,Содержаніе памятниковъ,23608
,,5,,Пособіе на изданіе «Военнаго Сборника» и «Русскаго Инвалида»,37000
,,6,,Пособіе на изданіе журнала «Извѣстія Императорской Николаевской Военной Академіи»,3000
,,7,,На эксплоатацію и содержаніе войсковыхъ автомобилей,238470
,,,,Воинскія части арміи и команды флота.,None
475,6,,,Военно-конская повинность.,14600
,,1,,На производство военно-конской переписи,10000
,,2,,Наведеніе постояннаго учета лошадей въ Привислинскихъ губерніяхъ,4600
476,7,,,Перевозка войскъ и грузовъ.,12000000
,,1,,"Перевозка войскъ, новобранцевъ и грузовъ:",8311000
,,,а, по желѣзнымъ дорогамъ (кромѣ провіанта и фураж,5482000
,,,б, по водянымъ путямъ сообщенія (кромѣ провіанта и фураж,674000
,,,в, перевозка провіанта по желѣзнымъ дорогамъ и водянымъ путямъ сообщенія,1542000
,,,г, перевозка фуража по желѣзнымъ дорогамъ и водянымъ путямъ сообщенія,613000
,,2,,Перевозка по грунтовымъ и шоссейнымъ дорогамъ:,3689000
,,,а, воинскія перевозки (кромѣ провіанта и фураж,2116000
,,,б, перевозка провіанта,1205000
,,,в, перевозка фуража,368000
,,,,"Просвѣщеніе, науки и искусства.",None
477,8,,,Расходы по ученой и учебной частямъ.,668928
,,1,,Императорская Николаевская Военная Академія:,391250
,,,а, личный составъ,165422
,,,б, учебная часть,159525
,,,в, канцелярскіе и хозяйственные расходы,66303
,,2,,Военно-топографическое училище:,195701
,,,а, личный составъ,32652
,,,б, учебная часть,49495
,,,в, содержаніе юнкеровъ,53014
,,,г, канцелярскіе и хозяйственные расходы,60540
,,3,,Командировки для усовершенствованія въ иностранныхъ языкахъ,11958
,,4,,"Изданіе военно-научныхъ сочиненій и руководствъ, а также покупка картъ и книгъ",70019
,,,,Казенныя операціи.,None
,,,,Казенныя желѣзныя дороги.,None
478,9,,,Содержаніе и эксплоатація военной желѣзной дороги Ковель-Владиміръ-Волынскій.,187157
,,1,,Содержаніе кадра служащихъ и эксплоатаціонные расходы дороги,187157
479,10,,,Единовременные расходы по эксплоатаціи военной желѣзной дороги Ковель — Владиміръ-Волынскій,34213
480,11,,,Содержаніе и эксплоатація военнаго полевого парового пути Хабаровскъ — Николо-Александровская пристань,34400
,,,,Оборона государства.,None
,,,,Строительныя работы и пріобрѣтеніе недвижимыхъ имуществъ.,None
481,12,,,Необоронительныя сооруженія.,39773075
,,1,,Новыя постройки и капитальныя перестройки и пріобрѣтеніе недвижимыхъ имуществъ,39773075
482,13,,,"Пріобрѣтеніе земельныхъ участковъ для лагерей, полигоновъ и стрѣльбищъ",2000000
,,,,Главный Штабъ.,16692709
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
483,1,,,Содержаніе центральныхъ учрежденій.,753285
,,1,,Главный Штабъ:,616492
,,,а, личный составъ,554619
,,,б, канцелярскіе и хозяйственные расходы,61873
,,2,,Содержаніе зданій Главнаго Штаба,136793
484,2,,,Содержаніе мѣстныхъ учрежденій.,None
,,1,,Фельдъегерскій Корпусъ:,71272
,,,а, личный составъ,70642
,,,б, канцелярскіе и хозяйственные расходы,630
485,3,,,Разные расходы администраціи.,103000
,,1,,На разъѣзды фельдъегерей,103000
486,4,,,Разные расходы по управленію.,120010
,,1,,На секретные расходы,85300
,,2,,"Печатныя, чертежныя и переплетныя работы",34410
,,3,,На разсылку войскамъ молитвенниковъ и книгъ свода военныхъ постановленій,300
,,,,Воинскiя части арміи и команды флота.,None
487,5,,,Награды и пособія.,1964016
,,1,,Пособія офицерамъ войскъ гвардіи,382758
,,2,,Пособія на улучшеніе быта офицеровъ,587749
,,3,,Награды и пособія чинамъ военнаго вѣдомства,386450
,,4,,Пособія на воспитаніе дѣтей чиновъ военнаго вѣдомства,153113
,,5,,Пособія офицерскимъ собраніямъ,328653
,,6,,Награды нижнимъ чинамъ,121493
,,7,,Пособіе служащимъ въ казачьихъ и иррегулярныхъ войскахъ,3800
,,,,"Просвѣщенiе, науки и искусства.",None
488,6,,,Расходы по ученой и учебной частямъ.,106390
,,1,,Изученіе офицерами восточныхъ языковъ,106390
,,,,Строительныя работы пріобрѣтеніе недвижимыхъ имуществъ.,None
489,7,,,Сооруженіе и ремонтъ зданій.,56840
,,1,,Капитальный ремонтъ и переустройство зданій Главнаго Штаба,56840
,,,,Расходы по пенсіонному обезпеченію служащихъ и аренды.,None
490,8,,,Пенсіи и пенсіонныя пособія изъ казны.,6503516
,,1,,"6% надбавки къ жалованью, столовымъ и добавочному содержанію чиновъ военно-сухопутнаго вѣдомства для обращенія въ эмеритальную кассу",5003516
,,2,,Пособія эмеритальной кассѣ военно-сухопутнаго вѣдомства,1500000
,,,,Оборона государства.,None
,,,,Пособія и вознагражденіе по разнымь случаямъ.,None
491,9,,,Пособія по разнымъ случаямъ.,83200
,,1,,На выдачу пособій отставнымъ чинамъ военнаго вѣдомства и ихъ семействамъ,83200
,,,,Гражданское управленіе.,None
,,,,Полиція.,None
492,10,,,Содержаніе отдѣльнаго корпуса жандармовъ.,16000
,,1,,Пособія чинамъ корпуса,16000
,,,,Общіе расходы по управленію.,None
493,11,,,Содержаніе мѣстныхъ учрежденій.,1710529
,,1,,Начальники Кубанскои и Терской областей съ ихъ канцеляріями:,66707
,,,а, личный составъ,62707
,,,б, канцелярскіе и хозяйственные расходы,4000
,,2,,Областныя и войсковыя управленія:,295320
,,,а, личный составъ,251135
,,,б, канцелярскіе и хозяйственные расходы,44185
,,3,,Управленія отдѣловъ и округовъ:,548423
,,,а, личный составъ,449403
,,,б, канцелярскіе и хозяйственные расходы,99020
,,4,,Полиція въ Кубанской и Терской областяхъ и области войска Донского:,390245
,,,а, личный составъ,369585
,,,б, канцелярскіе и хозяйственные расходы,20660
,,5,,Кубанская милиція и Терская охранная стража:,239483
,,,а, личный составъ,187083
,,,б, канцелярскіе и хозяйственные расходы,52400
,,6,,Телеграфные расходы по управленіямъ Кубанской и Терской областей.,2200
,,7,,Путевое довольствіе,44756
,,8,,Подсудное жалованье служащимъ въ Кубанской и Терской областяхъ.,1600
,,9,,Выдачи но мѣстнымъ привилегіямъ службы (прибавочное жаловань,12144
,,10,,"На выдачу добавочныхъ денегъ медицинскимъ и ветеринарнымъ врачамъ, класснымъ фельдшерамъ и фармацевтамъ, служащимъ въ областныхъ и войсковыхъ учрежденіяхъ",109385
,,11,,"На жалованье по знакамъ отличія военнаго ордена лицамъ, служащимъ по административному управленію",266
494,12,,,Разные расходы по управленію.,14968
,,1,,На медикаменты для лицъ невойскового сословія въ Кубанской и Терской областяхъ,3940
,,2,,Сельскохозяйственные культурные опыты въ Терской области,400
,,3,,Содержаніе зданій и сооруженій,10628
,,,,"Просвѣщеніе, науки и искусства.",None
495,13,,,Расходы по ученой и учебной частямъ.,5192
,,1,,Содержаніе пансіонеровъ и пансіонерокъ въ учебныхъ заведеніяхъ,2752
,,2,,На выдачу пособій школамъ въ Амурскомъ войскѣ,2200
,,3,,Пособіе Семирѣченскому казачьему войску на содержаніе стипендій въ Омской ветеринарно-фельдшерской школѣ,240
,,,,Пособія и вознагражденіе по разнымъ случаямъ.,None
496,14,,,Пособія по разнымъ случаямъ.,849511
,,1,,Сибирскому войску:,74944
,,,а, на перевозку соли съ боровыхъ озеръ,1000
,,,б, на содержаніе чиновъ внутренней службы,73944
,,2,,Семирѣченскому войску:,68500
,,,а, на содержаніе чиновъ внутренней службы,18500
,,,б, на покрытіе дефицитовъ по войсковой смѣтѣ,50000
,,3,,Уральскому войску:,235020
,,,а, на покрытіе дефицитовъ по войсковой смѣтѣ,228000
,,,б, на выдачу пособій бѣднымъ лицамъ войскового сословія,1000
,,,в, на содержаніе штаба Уральскаго казачьяго войска,6020
,,4,,Войсковому капиталу войска Донского:,318947
,,,а, на содержаніе управленій Ростовскаго и Таганрогскаго округовъ.,40359
,,,б, на содержаніе городской полиціи гор. Таганрога,10618
,,,в, на содержаніе Ростовской мѣстной команды,39700
,,,г," на содержаніе войскового наказного атамана и состоящихъ при немъ чиновъ областного правленія, окружныхъ управленій и полиціи",205470
,,,д," на содержаніе медиковъ, ветеринаровъ, фельдшеровъ и т. п.",22800
,,5,,Войсковымъ обывателямъ Астраханскаго и Сибирскаго войскъ на покупку соли,2100
,,6,,Оренбургскому казачьему войску на подкрѣпленіе общаго войскового капитала,115000
,,7,,Забайкальскому казачьему войску на покрытіе смѣтнаго дефицита,35000
497,15,,,"Вознагражденіе за отошедшіе въ казну имущества, доходы и др.",4329216
,,1,,"Оренбургскому войску за земли, отданныя въ пользованіе киргизовъ",2000
,,2,,Казачьимъ войскамъ за отошедшіе въ казну доходы отъ торговли,137500
,,3,,Казачьимъ войскамъ за отошедшіе въ казну питейные доходы,2355559
,,4,,Оренбургскому войску за отошедшіе въ казну горные доходы,42857
,,5,,Войску Донскому въ возмѣщеніе потерь отъ частнаго коннозаводства,1791300
,,,,Расходы по пенсіонному обезпеченію служащихъ и аренды.,None
498,16,,,Пенсіи и пенсіонныя пособія изъ казны.,5764
,,1,,Вознагражденія казачьимъ войскамъ въ возмѣщеніе причитающихся въ войсковые капиталы пенсіонныхъ вычетовъ съ офицерскихъ чиновъ казачьихъ строевыхъ частей,5764
,,,,Главное Военно-Санитарное Управленіе.,9662289
,,,,Оборона государства.,None
,,,,Общiе расходы по управленію.,None
499,1,,,Содержаніе центральныхъ учрежденій.,261926
,,1,,Главное Военно-Санитарное Управленіе:,176302
,,,а, личный составъ,166363
,,,б, канцелярскіе и хозяйственные расходы,9939
,,2,,Ветеринарное Управленіе арміи:,36913
,,,а, личный составъ,34313
,,,б, канцелярскіе и хозяйственные расходы,2600
,,3,,Военно-Санитарный Ученый Комитетъ:,34816
,,,а, личный составъ,31916
,,,б, канцелярскіе и хозяйственные расходы,2900
,,4,,"Чины, состоящіе въ распоряженіи Главнаго Военно-Санитарнаго Управленія",12097
,,5,,Пособія на воспитаніе дѣтей,1798
500,2,,,Содержаніе мѣстныхъ учрежденій.,995075
,,1,,Окружныя военно-санитарныя управленія:,435183
,,,а, личный составъ,424671
,,,б, канцелярскіе и хозяйственные расходы,10512
,,2,,Окружныя военно-ветеринарныя управленія:,142120
,,,а, личный составъ,139000
,,,б, канцелярскіе и хозяйственные расходы,3120
,,3,,Заводъ военно-врачебныхъ заготовленій:,152200
,,,а, личный составъ,143000
,,,б, канцелярскіе и хозяйственные расходы,9200
,,4,,"Аптечные магазины, склады и аптеки:",182651
,,,а, личный составъ,161728
,,,б, канцелярскіе и хозяйственные расходы,20923
,,5,,Военно-медицинская лабораторія Кавказскаго военнаго округа:,11642
,,,а, личный составъ,10842
,,,б, канцелярскіе и хозяйственные расходы,800
,,6,,Управленіе Абастуманскими минеральными водами:,14996
,,,а, личный составъ,11026
,,,б, канцелярскіе и хозяйственные расходы,3970
,,7,,Награды и пособія,16000
,,8,,Наемъ и содержаніе зданій,29636
,,9,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,10647
501,3,,,Разные расходы по управленію.,5758
,,1,,"Печатныя, чертежныя и переплетныя работы",5758
,,,,Воинскія части арміи и команды флота.,None
502,4,,,Снабженіе арміи медицинскимъ и ветеринарнымъ имуществомъ.,1240450
,,1,,Заготовленіе матеріаловъ для завода военно-врачебныхъ заготовленій.,574385
,,2,,Расходы завода военно-врачебныхъ заготовленій по обработкѣ матеріаловъ,294088
,,3,,"Заготовленіе матеріаловъ и припасовъ для аптечныхъ магазиновъ, складовъ и военно-лечебныхъ заведеній",366887
,,4,,Уплата частнымъ аптекамъ и гражданскимъ больницамъ за лекарства для лицъ военнаго вѣдомства,5090
503,5,,,Содержаніе больныхъ.,5775870
,,1,,Въ военно-лечебныхъ заведеніяхъ:,5339175
,,,а, продовольствіе больныхъ (посуточный окладъ),4550928
,,,б, хозяйственные расходы,788247
,,2,,Въ другихъ лечебныхъ заведеніяхъ и на дому,436695
,,,,"Просвѣщеніе, науки и искусства.",None
504,6,,,Расходы по ученой и учебной частямъ.,1383210
,,1,,Императорская Военно-Медицинская Академія съ клиническою больницею баронета Вилліе:,836451
,,,а, личный составъ,272403
,,,б, учебная часть,36785
,,,в, содержаніе студентовъ,277385
,,,г, содержаніе больныхъ въ Михайловской клинической больницѣ баронета Вилліе,61946
,,,д, канцелярскіе и хозяйственные расходы,187932
,,2,,Военно-фельдшерскія школы:,493384
,,,а, личный составъ,185300
,,,б, учебная часть,14875
,,,в, содержаніе воспитанниковъ,190724
,,,г, канцелярскіе и хозяйственные расходы,102485
,,3,,Зубоврачебные курсы и кабинеты при военныхъ госпиталяхъ,1747
,,4,,Заграничныя командировки съ ученой и учебной цѣлью,30096
,,5,,Ученыя изслѣдованія,21122
,,6,,На стипендію завода военно-врачебныхъ заготовленій въ СПБ. Технологическомъ Институтѣ и на уплату за право ученія стипендіата.,410
,,,,Главное Военно-Судное Управленіе.,1634006
,,,,Оборона государства.,None
,,,,Общіе расходы по управленію.,None
505,1,,,Содержаніе центральныхъ учрежденій.,157549
,,1,,Главное Военно-Судное Управленіе:,157549
,,,а, личный составъ,125103
,,,б, канцелярскіе и хозяйственные расходы,32446
,,,,Судъ.,None
506,2,,,Содержаніе военно-судебныхъ учрежденій.,1377536
,,1,,Главный военный судъ,41989
,,2,,Военно-окружные суды:,1309847
,,,а, личный составъ,1206902
,,,б, канцелярскіе и хозяйственные расходы,102945
,,3,,Награды и пособія,8000
,,4,,Выдачи по мѣстнымъ привилегіямъ службы (прибавочное жаловань,17700
,,,,"Просвѣщенiе, науки и искусства.",None
507,3,,,Расходы по ученой и учебной частямъ.,None
